Query,Stage,Possible Cause,Solution,Dosage per Acre,Weather Logic (Rain/No Rain),Query (Kannada),Stage (Kannada),Possible Cause (Kannada),Solution (Kannada),Query (Hindi),Stage (Hindi),Possible Cause (Hindi),Solution (Hindi)
Leaves turning yellow,Nursery,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Nursery,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Nursery,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Nursery,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Nursery,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Nursery,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Nursery,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Nursery,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Nursery,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Nursery,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Transplanting,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Transplanting,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Transplanting,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Transplanting,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Transplanting,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Transplanting,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Transplanting,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Transplanting,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Transplanting,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Transplanting,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Vegetative,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Vegetative,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Vegetative,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Vegetative,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Vegetative,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Vegetative,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Vegetative,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Vegetative,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Vegetative,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Vegetative,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Panicle Initiation,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Panicle Initiation,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Panicle Initiation,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Panicle Initiation,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Panicle Initiation,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Panicle Initiation,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Panicle Initiation,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Panicle Initiation,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Panicle Initiation,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Panicle Initiation,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Flowering,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Flowering,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Flowering,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Flowering,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Flowering,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Flowering,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Flowering,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Flowering,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Flowering,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Flowering,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Grain Filling,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Grain Filling,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Grain Filling,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Grain Filling,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Grain Filling,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Grain Filling,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Grain Filling,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Grain Filling,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Grain Filling,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Grain Filling,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Maturity,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Maturity,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Maturity,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Maturity,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Maturity,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Maturity,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Maturity,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Maturity,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Maturity,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Maturity,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Nursery,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Nursery,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Nursery,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Nursery,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Nursery,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Nursery,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Nursery,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Nursery,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Nursery,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Nursery,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Transplanting,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Transplanting,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Transplanting,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Transplanting,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Transplanting,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Transplanting,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Transplanting,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Transplanting,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Transplanting,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Transplanting,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Vegetative,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Vegetative,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Vegetative,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Vegetative,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Vegetative,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Vegetative,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Vegetative,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Vegetative,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Vegetative,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Vegetative,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Panicle Initiation,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Panicle Initiation,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Panicle Initiation,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Panicle Initiation,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Panicle Initiation,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Panicle Initiation,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Panicle Initiation,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Panicle Initiation,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Panicle Initiation,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Panicle Initiation,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Flowering,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Flowering,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Flowering,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Flowering,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Flowering,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Flowering,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Flowering,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Flowering,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Flowering,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Flowering,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,